sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t
ASHOKLEY,LONG,59.2,58.9,10554,-3166.200000000045,-3385.504632992445,EMA50_DYN,2022-04-05 11:45:00+05:30,2022-04-05 14:10:00+05:30
ESCORTS,LONG,1804.45,1850.45,346,15916.0,15691.3946510396,EOD,2022-04-05 14:15:00+05:30,2022-04-05 15:15:00+05:30
PAGEIND,LONG,44730.0,45060.0,14,4620.0,4397.96514444,EOD,2022-04-08 10:35:00+05:30,2022-04-08 15:15:00+05:30
BEL,LONG,85.75,85.85,8018,801.7999999999545,559.2444223311545,EMA50_DYN,2022-04-19 10:35:00+05:30,2022-04-19 14:25:00+05:30
CANBK,LONG,45.23,44.687239999999996,15201,-8250.49476000002,-8490.458535482803,SL,2022-04-19 14:30:00+05:30,2022-04-19 14:55:00+05:30
LICHSGFIN,LONG,374.9,370.40119999999996,1834,-8250.79920000003,-8490.771830051412,SL,2022-04-19 15:00:00+05:30,2022-04-19 15:05:00+05:30
ASHOKLEY,LONG,61.3,61.0,9876,-2962.799999999972,-3175.325987464772,EMA50_DYN,2022-04-20 10:15:00+05:30,2022-04-20 11:30:00+05:30
LICHSGFIN,LONG,371.85,371.2,1628,-1058.2000000000555,-1271.2616173004556,EMA50_DYN,2022-04-20 12:35:00+05:30,2022-04-20 13:15:00+05:30
CUMMINSIND,LONG,1085.45,1105.19625,557,10998.661249999954,10782.422201151212,TSL,2022-04-20 13:20:00+05:30,2022-04-20 15:05:00+05:30
TATAPOWER,SHORT,247.35,246.22499999999997,2575,2896.875000000073,2673.2182302788233,TSL,2022-04-25 11:15:00+05:30,2022-04-25 12:40:00+05:30
ESCORTS,LONG,1607.75,1598.75,404,-3636.0,-3863.887782276,EMA50_DYN,2022-04-26 10:45:00+05:30,2022-04-26 13:10:00+05:30
BALKRISIND,LONG,2090.35,2132.285,311,13041.784999999983,12808.923462166373,TSL,2022-04-26 13:15:00+05:30,2022-04-26 15:05:00+05:30
AUBANK,LONG,693.9,706.45,1001,12562.550000000068,12314.143262320968,EOD,2022-04-28 11:40:00+05:30,2022-04-28 15:15:00+05:30
BHARATFORG,SHORT,675.6,678.978,1120,-3783.3599999999205,-4051.1334557432806,SL,2022-05-02 11:20:00+05:30,2022-05-02 12:05:00+05:30
RBLBANK,LONG,122.15,120.6842,6029,-8837.308200000009,-9094.339311765356,SL,2022-05-04 11:05:00+05:30,2022-05-04 12:30:00+05:30
CONCOR,LONG,520.5,515.8,1415,-6650.500000000065,-6908.179995377064,EMA50_DYN,2022-05-04 13:25:00+05:30,2022-05-04 14:10:00+05:30
MFSL,LONG,732.5,728.5,896,-3584.0,-3814.295462656,EMA50_DYN,2022-05-05 10:30:00+05:30,2022-05-05 13:05:00+05:30
APOLLOTYRE,LONG,203.25,202.2,3230,-3391.500000000037,-3621.913121391037,EMA50_DYN,2022-05-05 13:10:00+05:30,2022-05-05 13:55:00+05:30
SRF,SHORT,2299.0,2310.495,269,-3092.1549999999706,-3311.007297969001,SL,2022-05-06 11:20:00+05:30,2022-05-06 11:20:00+05:30
GODREJPROP,SHORT,1422.0,1429.11,435,-3092.8499999999567,-3311.7514877240565,SL,2022-05-06 12:40:00+05:30,2022-05-06 12:45:00+05:30
GODREJPROP,SHORT,1416.05,1423.1302499999997,437,-3094.0692499998913,-3313.0570321252417,SL,2022-05-06 13:10:00+05:30,2022-05-06 13:25:00+05:30
BALKRISIND,LONG,1962.75,1944.85,290,-5191.000000000026,-5390.128998104026,EMA50_DYN,2022-05-11 11:40:00+05:30,2022-05-11 13:10:00+05:30
GODREJPROP,LONG,1374.0,1390.811,414,6959.753999999968,6757.274551579564,TSL,2022-05-11 13:40:00+05:30,2022-05-11 14:30:00+05:30
