Date,Symbol,Type,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL_Pct,Reason,Weight,Net_PnL,ExitReason,FinalExitTime,Pos_Size_INR,Gross_PnL_INR,Tax_INR,Net_PnL_INR,Running_Capital
2026-03-19,CIPLA.NS,SHORT,2026-03-19 12:40:00+05:30,1245.300048828125,2026-03-19 14:35:00+05:30,1239.0735485839843,0.5000000000000022,PT_75,0.75,0.4733703569809078,PT_75 | EOD,2026-03-19 15:15:00+05:30,166666.66666666666,788.9505949681796,58.6094660415722,730.3411289266074,100730.34112892661
2026-03-23,ADANIPORTS.NS,SHORT,2026-03-23 10:15:00+05:30,1301.0,2026-03-23 11:00:00+05:30,1294.495,0.5000000000000084,PT_75,0.75,0.3538628826683864,PT_75 | EOD,2026-03-23 15:15:00+05:30,167883.90188154436,594.0788147341982,58.9672932436975,535.1115214905008,101265.45265041711
2026-03-23,BAJFINANCE.NS,SHORT,2026-03-23 10:15:00+05:30,795.6500244140625,2026-03-23 10:35:00+05:30,791.6717742919922,0.5000000000000029,PT_75,0.75,-0.1387301289589597,PT_75 | EOD,2026-03-23 15:15:00+05:30,168775.75441736184,-234.1428217546632,58.98956405846251,-293.1323858131257,100972.32026460399
2026-03-23,EICHERMOT.NS,SHORT,2026-03-23 10:15:00+05:30,6745.0,2026-03-23 12:00:00+05:30,6711.275,0.5000000000000054,PT_75,0.75,0.5899740548554526,PT_75 | EOD,2026-03-23 15:15:00+05:30,168287.20044100666,992.8508202445302,59.248017941437915,933.6028023030923,101905.92306690708
2026-03-27,UPL.NS,SHORT,2026-03-27 10:15:00+05:30,613.0,2026-03-27 10:35:00+05:30,609.935,0.500000000000009,PT_75,0.75,1.068311582381736,PT_75 | EOD,2026-03-27 15:15:00+05:30,169843.2051115118,1814.4546320946492,60.080180910262264,1754.374451184387,103660.29751809147
2026-03-27,TECHM.NS,SHORT,2026-03-27 10:35:00+05:30,1402.5,2026-03-27 12:20:00+05:30,1395.4875,0.5000000000000032,PT_75,0.75,0.6299028311608759,PT_75 | EOD,2026-03-27 15:15:00+05:30,172767.16253015245,1088.2652480937422,60.84939972238617,1027.415848371356,104687.71336646282
2026-03-30,BHARTIARTL.NS,SHORT,2026-03-30 10:20:00+05:30,1798.5999755859375,2026-03-30 11:50:00+05:30,1789.606975708008,0.4999999999999954,PT_75,0.75,0.5862747606221195,PT_75 | EOD,2026-03-30 15:15:00+05:30,174479.52227743805,1022.9294015666675,61.425858087651655,961.5035434790158,105649.21690994184
2026-03-30,HCLTECH.NS,SHORT,2026-03-30 10:20:00+05:30,1343.5,2026-03-30 15:00:00+05:30,1336.7825,0.49999999999999795,PT_75,0.75,0.3805833425404711,PT_75 | EOD,2026-03-30 15:15:00+05:30,176082.0281832364,670.1388684728155,61.86325846809823,608.2756100047172,106257.49251994655
2026-03-30,ADANIPORTS.NS,SHORT,2026-03-30 10:35:00+05:30,1315.5999755859375,2026-03-30 14:50:00+05:30,1309.0219757080079,0.49999999999999656,PT_75,0.75,0.4377076394620381,PT_75 | EOD,2026-03-30 15:15:00+05:30,177095.8208665776,775.1619371010163,62.254843981287515,712.9070931197288,106970.39961306629
2026-04-13,HINDUNILVR.NS,SHORT,2026-04-13 12:45:00+05:30,2124.800048828125,2026-04-13 15:15:00+05:30,2125.699951171875,-0.04235233071678045,EOD,1.0,-0.04235233071678045,EOD,2026-04-13 15:15:00+05:30,178283.99935511049,-75.5074290219791,62.37297217413097,-137.88040119611009,106832.51921187018
