Date,Symbol,Type,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL_Pct,Reason,Weight,Net_PnL,ExitReason
2026-03-19,CIPLA.NS,SHORT,2026-03-19 12:40:00+05:30,1245.300048828125,2026-03-19 14:35:00+05:30,1239.0735485839843,0.5000000000000022,PT_75,0.75,0.4733703569809078,PT_75 | EOD
2026-03-23,ADANIPORTS.NS,SHORT,2026-03-23 10:15:00+05:30,1301.0,2026-03-23 11:00:00+05:30,1294.495,0.5000000000000084,PT_75,0.75,0.3538628826683864,PT_75 | EOD
2026-03-23,BAJFINANCE.NS,SHORT,2026-03-23 10:15:00+05:30,795.6500244140625,2026-03-23 10:35:00+05:30,791.6717742919922,0.5000000000000029,PT_75,0.75,-0.1387301289589597,PT_75 | EOD
2026-03-23,EICHERMOT.NS,SHORT,2026-03-23 10:15:00+05:30,6745.0,2026-03-23 12:00:00+05:30,6711.275,0.5000000000000054,PT_75,0.75,0.5899740548554526,PT_75 | EOD
2026-03-23,HEROMOTOCO.NS,SHORT,2026-03-23 10:15:00+05:30,5079.5,2026-03-23 15:05:00+05:30,5054.1025,0.5000000000000007,PT_75,0.75,0.4340609311940157,PT_75 | EOD
2026-03-23,INDUSINDBK.NS,SHORT,2026-03-23 10:15:00+05:30,788.7000122070312,2026-03-23 10:50:00+05:30,784.7565121459961,0.49999999999999767,PT_75,0.75,0.739523894446867,PT_75 | EOD
2026-03-23,M&M.NS,SHORT,2026-03-23 10:15:00+05:30,2968.89990234375,2026-03-23 12:20:00+05:30,2954.055402832031,0.5000000000000024,PT_75,0.75,0.5147811821014977,PT_75 | EOD
2026-03-23,SBILIFE.NS,SHORT,2026-03-23 10:15:00+05:30,1831.0,2026-03-23 11:30:00+05:30,1821.845,0.49999999999999856,PT_75,0.75,0.3859236595866319,PT_75 | EOD
2026-03-23,TATACONSUM.NS,SHORT,2026-03-23 10:15:00+05:30,1024.199951171875,2026-03-23 15:15:00+05:30,1024.0,0.019522669537937267,EOD,1.0,0.019522669537937267,EOD
2026-03-23,TITAN.NS,SHORT,2026-03-23 10:15:00+05:30,3946.800048828125,2026-03-23 10:20:00+05:30,3927.0660485839844,0.49999999999999906,PT_75,0.75,0.5365232573510488,PT_75 | OS_Exit_25
2026-03-23,UPL.NS,SHORT,2026-03-23 10:15:00+05:30,607.5,2026-03-23 12:05:00+05:30,604.4625,0.5000000000000038,PT_75,0.75,0.560185185185188,PT_75 | EOD
2026-03-23,APOLLOHOSP.NS,SHORT,2026-03-23 10:20:00+05:30,7160.0,2026-03-23 10:25:00+05:30,7124.2,0.5000000000000026,PT_75,0.75,0.5181564245810075,PT_75 | OS_Exit_25
