symbol,month,type,pnl,stt,exit_reason
ADANIENT,2024-01,LONG,36.71198797574024,125.03671198797574,PARTIAL_PROFIT
ADANIENT,2024-01,LONG,-1703.8681478154326,373.2961318521846,STOP_LOSS
ADANIENT,2024-01,LONG,155.2876539753719,125.15528765397538,PARTIAL_PROFIT
ADANIENT,2024-01,LONG,4323.995660694325,379.3239956606943,EMA50_EXIT
ADANIENT,2024-01,SHORT,-182.01373376353257,125.0,STOP_LOSS
ADANIENT,2024-01,LONG,183.66699504097596,125.183666995041,PARTIAL_PROFIT
ADANIENT,2024-01,LONG,1440.1162111168624,376.4401162111169,EOD
ADANIENT,2024-01,LONG,205.58206184558657,125.20558206184558,PARTIAL_PROFIT
ADANIENT,2024-01,LONG,952.5980687498649,375.95259806874986,EOD
ADANIENT,2024-01,SHORT,-293.30769606807706,125.00000000000001,STOP_LOSS
ADANIENT,2024-01,LONG,-818.9874039737267,499.1810125960262,STOP_LOSS
ADANIENT,2024-01,LONG,-98.48982271830417,499.9015101772817,STOP_LOSS
ADANIENT,2024-01,LONG,74.52798940047127,125.07452798940048,PARTIAL_PROFIT
ADANIENT,2024-01,LONG,-1018.5491884729818,373.98145081152705,STOP_LOSS
ADANIENT,2024-01,LONG,-499.4921829473369,499.5005078170527,STOP_LOSS
ADANIENT,2024-01,LONG,-66.97362913354391,499.93302637086646,STOP_LOSS
ADANIENT,2024-01,LONG,-506.359532432726,499.4936404675673,STOP_LOSS
ADANIENT,2024-01,LONG,-1129.2714044342827,498.87072859556565,STOP_LOSS
ADANIENT,2024-01,LONG,94.86029665401078,125.094860296654,PARTIAL_PROFIT
ADANIENT,2024-01,LONG,2393.066574680924,377.39306657468086,EMA50_EXIT
ADANIENT,2024-01,LONG,-529.1005291005137,499.47089947089955,STOP_LOSS
ADANIENT,2024-01,LONG,-1521.8276087841948,498.4781723912158,STOP_LOSS
ADANIENT,2024-01,LONG,50.99506899854956,125.05099506899855,PARTIAL_PROFIT
ADANIENT,2024-01,LONG,-113.07602256198017,374.886923977438,STOP_LOSS
ADANIENT,2024-01,LONG,-380.9152596424873,499.6190847403575,STOP_LOSS
ADANIENT,2024-01,LONG,75.34926600951496,125.07534926600951,PARTIAL_PROFIT
ADANIENT,2024-01,LONG,-1422.7714346500006,373.57722856534997,STOP_LOSS
ADANIENT,2024-03,LONG,240.52988136510376,125.2405298813651,PARTIAL_PROFIT
ADANIENT,2024-03,LONG,-411.4850036576228,374.58851499634244,STOP_LOSS
ADANIENT,2024-03,LONG,-5149.338991349793,494.85066100865026,STOP_LOSS
ADANIENT,2024-03,LONG,-747.9984875634528,499.25200151243655,STOP_LOSS
ADANIENT,2024-03,LONG,274.6390458254903,125.27463904582551,PARTIAL_PROFIT
ADANIENT,2024-03,LONG,-749.5787491326851,374.25042125086736,STOP_LOSS
ADANIENT,2024-03,LONG,219.60943306979433,125.21960943306979,PARTIAL_PROFIT
ADANIENT,2024-03,LONG,-1051.5913237381135,373.9484086762619,STOP_LOSS
ADANIENT,2024-03,LONG,-710.8162539983107,499.28918374600175,STOP_LOSS
ADANIENT,2024-03,LONG,159.4170861107332,125.15941708611074,PARTIAL_PROFIT
ADANIENT,2024-03,LONG,-529.2647258876459,374.4707352741123,STOP_LOSS
ADANIENT,2024-03,LONG,-975.4094152676931,499.0245905847324,STOP_LOSS
ADANIENT,2024-03,LONG,914.12363735774,125.91412363735776,PARTIAL_PROFIT
ADANIENT,2024-03,LONG,-358.8148856918526,374.6411851143082,STOP_LOSS
ADANIENT,2024-03,LONG,-4324.286925086053,495.675713074914,STOP_LOSS
ADANIENT,2024-03,LONG,-444.66920099051055,499.5553307990095,STOP_LOSS
ADANIENT,2024-03,LONG,-869.8677800974252,499.1301322199026,STOP_LOSS
ADANIENT,2024-03,LONG,349.0633466863764,125.34906334668638,PARTIAL_PROFIT
ADANIENT,2024-03,LONG,7317.863732318257,382.3178637323183,EMA50_EXIT
ADANIENT,2024-03,SHORT,-104.50664823063667,124.99999999999999,STOP_LOSS
ADANIENT,2024-04,SHORT,-140.22623165374887,125.0,STOP_LOSS
ADANIENT,2024-04,LONG,78.14942169427947,125.07814942169429,PARTIAL_PROFIT
ADANIENT,2024-04,LONG,-486.4801500469004,374.5135198499531,STOP_LOSS
ADANIENT,2024-04,LONG,-2622.1825485382437,497.37781745146174,STOP_LOSS
ADANIENT,2024-04,LONG,99.96960923879142,125.0999696092388,PARTIAL_PROFIT
ADANIENT,2024-04,LONG,3508.9332842815784,378.50893328428157,EMA50_EXIT
ADANIENT,2024-04,LONG,-3339.9206258472,496.6600793741528,STOP_LOSS
ADANIENT,2024-04,SHORT,-73.4957862415591,125.0,STOP_LOSS
ADANIENT,2024-04,SHORT,-496.12857049901214,125.00000000000001,STOP_LOSS
ADANIENT,2024-05,LONG,-3098.032447359306,496.9019675526407,STOP_LOSS
ADANIENT,2024-05,LONG,-2220.4874663891374,497.7795125336109,STOP_LOSS
ADANIENT,2024-05,LONG,316.74326756723696,125.31674326756723,PARTIAL_PROFIT
ADANIENT,2024-05,LONG,4239.990912744864,379.2399909127449,EMA50_EXIT
ADANIENT,2024-05,LONG,310.22790827740096,125.31022790827741,PARTIAL_PROFIT
ADANIENT,2024-05,LONG,1848.2592281879076,376.84825922818794,EMA50_EXIT
ADANIENT,2024-05,LONG,535.303351265685,125.53530335126568,PARTIAL_PROFIT
ADANIENT,2024-05,LONG,-114.29964795708429,374.88570035204293,STOP_LOSS
ADANIENT,2024-05,LONG,-1541.14788946251,498.45885211053746,STOP_LOSS
ADANIENT,2024-05,LONG,-1558.1177937052041,498.4418822062948,STOP_LOSS
ADANIENT,2024-05,LONG,-1451.6053506484973,498.5483946493515,STOP_LOSS
ADANIENT,2024-05,LONG,1025.3454414278804,126.02534544142787,PARTIAL_PROFIT
ADANIENT,2024-05,LONG,4999.294217286972,379.99929421728694,EMA50_EXIT
ADANIENT,2024-06,LONG,1225.101556954963,126.22510155695498,PARTIAL_PROFIT
ADANIENT,2024-06,LONG,-3420.4684456122664,371.57953155438776,STOP_LOSS
ADANIENT,2024-06,LONG,-609.19890344193,499.39080109655805,STOP_LOSS
ADANIENT,2024-06,LONG,-11727.54515266868,488.2724548473313,STOP_LOSS
ADANIENT,2024-06,LONG,802.5219767556711,125.80252197675566,PARTIAL_PROFIT
ADANIENT,2024-06,LONG,-7315.296480426694,367.68470351957325,STOP_LOSS
ADANIENT,2024-06,LONG,-4485.828858832341,495.5141711411677,STOP_LOSS
ADANIENT,2024-06,LONG,2139.6675762838086,127.1396675762838,PARTIAL_PROFIT
ADANIENT,2024-06,LONG,31855.796151256367,406.8557961512563,EMA50_EXIT
ADANIENT,2024-06,SHORT,-988.4806973847927,124.99999999999999,STOP_LOSS
ADANIENT,2024-06,SHORT,-85.57780578508797,125.0,STOP_LOSS
ADANIENT,2024-06,SHORT,-428.0488753988637,125.0,STOP_LOSS
ADANIENT,2024-06,SHORT,-669.7714988862676,125.0,STOP_LOSS
ADANIENT,2024-06,LONG,194.6620204761212,125.19466202047613,PARTIAL_PROFIT
ADANIENT,2024-06,LONG,-474.12729739735306,374.52587270260267,STOP_LOSS
ADANIENT,2024-06,LONG,-170.38149966703796,499.8296185003329,STOP_LOSS
ADANIENT,2024-06,SHORT,217.39130434784022,125.0,PROFIT_TARGET
ADANIENT,2024-06,SHORT,-800.037283290886,125.0,STOP_LOSS
ADANIENT,2024-06,SHORT,-240.7991424443726,125.0,STOP_LOSS
ADANIENT,2024-06,SHORT,-279.6681271558034,125.0,STOP_LOSS
ADANIENT,2024-06,SHORT,248.8568140106245,125.00000000000001,PROFIT_TARGET
ADANIENT,2024-06,SHORT,708.0389654850031,125.0,PROFIT_TARGET
ADANIENT,2024-06,LONG,117.12161908926228,125.11712161908926,PARTIAL_PROFIT
ADANIENT,2024-06,LONG,-263.52364295084016,374.7364763570491,STOP_LOSS
ADANIENT,2024-06,LONG,631.553860819832,125.63155386081984,PARTIAL_PROFIT
ADANIENT,2024-06,LONG,5409.914204003824,380.4099142040038,EMA50_EXIT
ADANIENT,2024-06,SHORT,-589.4280190503135,125.0,STOP_LOSS
ADANIENT,2024-06,SHORT,1973.8911607424004,125.0,PROFIT_TARGET
ADANIENT,2024-06,LONG,-734.9803214946324,499.2650196785054,STOP_LOSS
ADANIENT,2024-06,SHORT,-465.4244829054822,124.99999999999999,STOP_LOSS
ADANIENT,2024-06,SHORT,-552.8614529198983,125.0,STOP_LOSS
ADANIENT,2024-06,SHORT,-426.72229861075306,125.0,STOP_LOSS
ADANIENT,2024-07,SHORT,309.3323180887733,125.0,PROFIT_TARGET
ADANIENT,2024-07,SHORT,539.6825396825541,125.0,PROFIT_TARGET
ADANIENT,2024-07,SHORT,-372.9566735438675,125.0,STOP_LOSS
ADANIENT,2024-07,SHORT,-476.64442326024783,125.0,STOP_LOSS
ADANIENT,2024-07,SHORT,-478.46126856031,124.99999999999999,STOP_LOSS
ADANIENT,2024-07,SHORT,-103.71457748278193,125.0,STOP_LOSS
ADANIENT,2024-07,SHORT,438.86947223951097,124.99999999999999,PROFIT_TARGET
ADANIENT,2024-07,SHORT,-790.6590422642906,125.00000000000001,STOP_LOSS
ADANIENT,2024-07,SHORT,-64.08613176102861,124.99999999999999,STOP_LOSS
ADANIENT,2024-07,LONG,-266.8219085042831,499.7331780914957,STOP_LOSS
ADANIENT,2024-07,LONG,-519.3877716641952,499.4806122283358,STOP_LOSS
ADANIENT,2024-07,LONG,-267.6529271497544,499.7323470728503,STOP_LOSS
