bg,bb,mp,xg,ndays,t_ret,t_pf,t_dd,t_n,v_ret,v_pf,v_dd,v_n
0.01,0.3,2,-0.008,66,63.1,1.27,-23.5,191,118.3,2.01,-5.3,87
0.01,0.3,2,-0.012,66,63.1,1.27,-23.5,191,118.3,2.01,-5.3,87
0.01,0.3,3,-0.004,66,35.6,1.18,-20.6,280,94.8,2.0,-3.9,130
0.01,0.3,3,-0.008,66,35.1,1.18,-20.5,281,93.4,1.99,-3.9,130
0.01,0.3,3,-0.012,66,35.1,1.18,-20.5,281,93.4,1.99,-3.9,130
0.01,0.35,1,-0.004,56,47.2,1.26,-19.8,73,127.3,2.26,-10.8,47
0.01,0.35,1,-0.008,56,47.2,1.26,-19.8,73,127.3,2.26,-10.8,47
0.01,0.35,1,-0.012,56,47.2,1.26,-19.8,73,127.3,2.26,-10.8,47
0.01,0.35,2,-0.004,56,44.5,1.25,-19.6,151,110.5,2.04,-5.0,83
0.01,0.35,2,-0.008,56,44.5,1.25,-19.6,151,94.5,1.94,-5.0,83
0.01,0.35,2,-0.012,56,44.5,1.25,-19.6,151,94.5,1.94,-5.0,83
0.01,0.35,3,-0.004,56,40.0,1.24,-17.4,222,80.1,1.84,-3.9,124
0.01,0.35,3,-0.008,56,40.0,1.24,-17.4,222,79.3,1.83,-4.0,124
0.01,0.35,3,-0.012,56,40.0,1.24,-17.4,222,79.3,1.83,-4.0,124
0.01,0.4,1,-0.004,47,26.1,1.19,-16.0,64,114.6,3.2,-3.1,35
0.01,0.4,1,-0.008,47,26.1,1.19,-16.0,64,114.6,3.2,-3.1,35
0.01,0.4,1,-0.012,47,26.1,1.19,-16.0,64,114.6,3.2,-3.1,35
0.01,0.4,2,-0.004,47,28.8,1.19,-19.6,137,88.2,2.38,-4.7,65
0.01,0.4,2,-0.008,47,28.8,1.19,-19.6,137,74.6,2.22,-4.8,65
0.01,0.4,2,-0.012,47,28.8,1.19,-19.6,137,74.6,2.22,-4.8,65
0.01,0.4,3,-0.004,47,20.1,1.15,-15.6,203,60.1,2.02,-2.6,97
0.01,0.4,3,-0.008,47,20.1,1.15,-15.6,203,59.4,2.02,-2.6,97
0.01,0.4,3,-0.012,47,20.1,1.15,-15.6,203,59.4,2.02,-2.6,97
