Date,Symbol,Type,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL_Pct,Reason,Weight,Net_PnL,ExitReason,FinalExitTime,Pos_Size_INR,Gross_PnL_INR,Tax_INR,Net_PnL_INR,Running_Capital
2026-03-24,WIPRO.NS,LONG,2026-03-24 11:35:00+05:30,189.85000610351562,2026-03-24 12:30:00+05:30,189.9499969482422,0.05266833895809439,DYN_EXIT_EMA,1.0,0.05266833895809439,DYN_EXIT_EMA,2026-03-24 12:30:00+05:30,166666.66666666666,87.78056493015731,58.36405653105888,29.416508399098433,100029.4165083991
2026-03-24,HINDUNILVR.NS,LONG,2026-03-24 11:40:00+05:30,2087.0,2026-03-24 12:25:00+05:30,2097.435,0.4999999999999974,PT_75,0.75,0.5666626736942961,PT_75 | OB_Exit_25,2026-03-24 12:30:00+05:30,166715.69418066516,944.7156101121633,58.68114342677206,886.0344666853912,100915.45097508449
2026-03-24,ASIANPAINT.NS,LONG,2026-03-24 11:45:00+05:30,2182.0,2026-03-24 12:20:00+05:30,2192.91,0.49999999999999334,PT_75,0.75,0.5995657384996513,PT_75 | OB_Exit_25,2026-03-24 12:30:00+05:30,168192.4182918075,1008.4241148316983,59.22029484232372,949.2038199893746,101864.65479507386
2026-04-01,JSWSTEEL.NS,LONG,2026-04-01 10:20:00+05:30,1157.0999755859375,2026-04-01 11:45:00+05:30,1145.528975830078,-1.0000000000000087,SL,1.0,-1.0000000000000087,SL,2026-04-01 11:45:00+05:30,169774.42465845644,-1697.744246584579,58.826838144155154,-1756.5710847287341,100108.08371034512
2026-04-01,INDUSINDBK.NS,LONG,2026-04-01 11:35:00+05:30,779.25,2026-04-01 12:05:00+05:30,783.1462499999999,0.49999999999998657,PT_75,0.75,0.6541149248325613,PT_75 | OB_Exit_25,2026-04-01 12:40:00+05:30,166846.8061839085,1091.3698608554025,58.778361615667365,1032.5914992397352,101140.67520958485
2026-04-01,ITC.NS,LONG,2026-04-01 12:10:00+05:30,293.70001220703125,2026-04-01 13:05:00+05:30,293.1000061035156,-0.20429216158584168,DYN_EXIT_EMA,1.0,-0.20429216158584168,DYN_EXIT_EMA,2026-04-01 13:05:00+05:30,168567.79201597476,-344.3707860469607,58.87819743047473,-403.24898347743544,100737.42622610742
2026-04-01,GRASIM.NS,LONG,2026-04-01 12:15:00+05:30,2601.89990234375,2026-04-01 13:20:00+05:30,2595.300048828125,-0.2536551659685278,DYN_EXIT_EMA,1.0,-0.2536551659685278,DYN_EXIT_EMA,2026-04-01 13:20:00+05:30,167895.7103768457,-425.8761428104267,58.61444198191235,-484.49058479233906,100252.93564131508
2026-04-01,TITAN.NS,LONG,2026-04-01 12:50:00+05:30,4097.0,2026-04-01 13:20:00+05:30,4079.699951171875,-0.4222613821851354,DYN_EXIT_EMA,1.0,-0.4222613821851354,DYN_EXIT_EMA,2026-04-01 13:20:00+05:30,167088.22606885846,-705.5490528669856,58.23393695559702,-763.7829898225825,99489.1526514925
2026-04-08,UPL.NS,LONG,2026-04-08 12:45:00+05:30,635.5999755859375,2026-04-08 14:25:00+05:30,638.7779754638672,0.49999999999999645,PT_75,0.75,0.4674337913530938,PT_75 | DYN_EXIT_EMA,2026-04-08 15:10:00+05:30,165815.25441915417,775.0765303732308,58.306615832334586,716.7699145408961,100205.9225660334
2026-04-08,DIVISLAB.NS,LONG,2026-04-08 13:00:00+05:30,5937.5,2026-04-08 13:35:00+05:30,5918.0,-0.32842105263157895,DYN_EXIT_EMA,1.0,-0.32842105263157895,DYN_EXIT_EMA,2026-04-08 13:35:00+05:30,167009.87094338902,-548.4955761509198,58.26148137853333,-606.757057529453,99599.16550850395
2026-04-08,ASIANPAINT.NS,LONG,2026-04-08 13:40:00+05:30,2274.39990234375,2026-04-08 15:00:00+05:30,2275.699951171875,0.057160081073926824,DYN_EXIT_EMA,1.0,0.057160081073926824,DYN_EXIT_EMA,2026-04-08 15:00:00+05:30,165998.60918083994,94.88493958935905,58.13272294215025,36.7522166472088,99635.91772515116
2026-04-08,HINDUNILVR.NS,LONG,2026-04-08 13:45:00+05:30,2167.5,2026-04-08 14:10:00+05:30,2158.5,-0.4152249134948097,DYN_EXIT_EMA,1.0,-0.4152249134948097,DYN_EXIT_EMA,2026-04-08 14:10:00+05:30,166059.86287525194,-689.5219219733646,57.879619333647504,-747.401541307012,98888.51618384414
2026-04-08,NTPC.NS,LONG,2026-04-08 14:30:00+05:30,372.45001220703125,2026-04-08 15:10:00+05:30,374.3122622680664,0.499999999999992,PT_75,0.75,0.495820763456447,PT_75 | OB_Exit_25,2026-04-08 15:10:00+05:30,164814.19363974023,817.1829931891468,57.97098182152528,759.2120113676216,99647.72819521176
2026-04-08,HCLTECH.NS,LONG,2026-04-08 15:05:00+05:30,1462.4000244140625,2026-04-08 15:15:00+05:30,1459.5999755859375,-0.1914694188580099,EOD,1.0,-0.1914694188580099,EOD,2026-04-08 15:15:00+05:30,166079.5469920196,-317.9915434676354,58.01654440699319,-376.0080878746286,99271.72010733714
2026-04-15,SUNPHARMA.NS,LONG,2026-04-15 13:25:00+05:30,1687.0999755859375,2026-04-15 14:55:00+05:30,1695.535475463867,0.4999999999999881,PT_75,0.75,0.5513384592831994,PT_75 | OB_Exit_25,2026-04-15 15:00:00+05:30,165452.8668455619,912.2052869062043,58.227775246363834,853.9775116598404,100125.69761899699
2026-04-15,SBILIFE.NS,LONG,2026-04-15 14:25:00+05:30,1969.5,2026-04-15 15:15:00+05:30,1972.0999755859375,0.1320119617129982,EOD,1.0,0.1320119617129982,EOD,2026-04-15 15:15:00+05:30,166876.1626983283,220.2964960094377,58.4837607180182,161.8127352914195,100287.5103542884
2026-05-25,NTPC.NS,LONG,2026-05-25 10:20:00+05:30,390.8500061035156,2026-05-25 11:00:00+05:30,389.0,-0.47332891764767066,DYN_EXIT_EMA,1.0,-0.47332891764767066,DYN_EXIT_EMA,2026-05-25 11:00:00+05:30,167145.85059048067,-791.1496454929148,58.224145330745706,-849.3737908236606,99438.13656346474
2026-05-25,HCLTECH.NS,LONG,2026-05-25 10:45:00+05:30,1172.9000244140625,2026-05-25 12:00:00+05:30,1172.0,-0.07673496421931775,DYN_EXIT_EMA,1.0,-0.07673496421931775,DYN_EXIT_EMA,2026-05-25 12:00:00+05:30,165730.22760577456,-127.17303085388498,57.961069101222236,-185.13409995510722,99253.00246350963
2026-05-25,TCS.NS,LONG,2026-05-25 11:10:00+05:30,2317.199951171875,2026-05-25 11:55:00+05:30,2307.699951171875,-0.4099775677621422,DYN_EXIT_EMA,1.0,-0.4099775677621422,DYN_EXIT_EMA,2026-05-25 11:55:00+05:30,165421.67077251605,-678.1917423846598,57.66021766054599,-735.8519600452058,98517.15050346442
2026-05-25,TECHM.NS,LONG,2026-05-25 13:30:00+05:30,1442.699951171875,2026-05-25 13:55:00+05:30,1438.4000244140625,-0.2980471964610354,DYN_EXIT_EMA,1.0,-0.2980471964610354,DYN_EXIT_EMA,2026-05-25 13:55:00+05:30,164195.25083910735,-489.37934184812417,57.29705502404072,-546.6763968721649,97970.47410659226
2026-05-25,EICHERMOT.NS,LONG,2026-05-25 13:40:00+05:30,7371.5,2026-05-25 14:00:00+05:30,7359.5,-0.1627891202604626,DYN_EXIT_EMA,1.0,-0.1627891202604626,DYN_EXIT_EMA,2026-05-25 14:00:00+05:30,163284.1235109871,-265.8087881885431,57.056410152979495,-322.86519834152256,97647.60890825074
2026-05-25,BHARTIARTL.NS,LONG,2026-05-25 15:00:00+05:30,1877.0999755859375,2026-05-25 15:15:00+05:30,1872.4000244140625,-0.2503836360877853,EOD,1.0,-0.2503836360877853,EOD,2026-05-25 15:15:00+05:30,162746.01484708456,-407.48938956209724,56.818483910132855,-464.3078734722301,97183.3010347785
2026-06-12,APOLLOHOSP.NS,LONG,2026-06-12 13:40:00+05:30,8520.0,2026-06-12 14:25:00+05:30,8507.5,-0.14671361502347416,DYN_EXIT_EMA,1.0,-0.14671361502347416,DYN_EXIT_EMA,2026-06-12 14:25:00+05:30,161972.16839129748,-237.63522357878148,56.60708660870154,-294.24231018748304,96889.05872459101
2026-06-12,ULTRACEMCO.NS,LONG,2026-06-12 13:45:00+05:30,10949.0,2026-06-12 13:50:00+05:30,11003.744999999999,0.49999999999999073,PT_75,0.75,0.4754657959630947,PT_75 | OB_Exit_25,2026-06-12 13:50:00+05:30,161481.76454098502,767.7905571100448,56.78734428433327,711.0032128257116,97600.06193741673
2026-06-12,WIPRO.NS,LONG,2026-06-12 13:55:00+05:30,178.9499969482422,2026-06-12 15:00:00+05:30,179.84474693298338,0.4999999999999918,PT_75,0.75,0.5216894481229666,PT_75 | OB_Exit_25,2026-06-12 15:00:00+05:30,162666.76989569454,848.6153741483048,57.23038484444499,791.3849893038598,98391.44692672059
2026-06-12,UPL.NS,LONG,2026-06-12 14:25:00+05:30,608.0999755859375,2026-06-12 15:15:00+05:30,609.7999877929688,0.27956130164175647,EOD,1.0,0.27956130164175647,EOD,2026-06-12 15:15:00+05:30,163985.74487786763,458.44068288749673,57.5554649462643,400.88521794123244,98792.33214466182
2026-06-12,HDFCLIFE.NS,LONG,2026-06-12 14:30:00+05:30,556.5,2026-06-12 15:10:00+05:30,555.0,-0.2695417789757413,DYN_EXIT_EMA,1.0,-0.2695417789757413,DYN_EXIT_EMA,2026-06-12 15:10:00+05:30,164653.8869077697,-443.8110159239075,57.47352656214602,-501.2845424860535,98291.04760217576
