Date,Symbol,Type,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL_Pct,Reason,Weight,Net_PnL,ExitReason
2026-03-24,WIPRO.NS,LONG,2026-03-24 11:35:00+05:30,189.85000610351562,2026-03-24 15:15:00+05:30,188.75,-0.5794079895450976,EOD,1.0,-0.5794079895450976,EOD
2026-03-24,HINDUNILVR.NS,LONG,2026-03-24 11:40:00+05:30,2087.0,2026-03-24 12:25:00+05:30,2097.435,0.4999999999999974,PT_75,0.75,0.5666626736942961,PT_75 | OB_Exit_25
2026-03-24,ASIANPAINT.NS,LONG,2026-03-24 11:45:00+05:30,2182.0,2026-03-24 12:20:00+05:30,2192.91,0.49999999999999334,PT_75,0.75,0.5995657384996513,PT_75 | OB_Exit_25
2026-03-24,NESTLEIND.NS,LONG,2026-03-24 11:50:00+05:30,1178.199951171875,2026-03-24 12:20:00+05:30,1184.0909509277342,0.4999999999999838,PT_75,0.75,0.5765786876953786,PT_75 | OB_Exit_25
2026-03-24,TATACONSUM.NS,LONG,2026-03-24 11:50:00+05:30,1035.0,2026-03-24 12:10:00+05:30,1040.175,0.49999999999999556,PT_75,0.75,0.6020537298082697,PT_75 | OB_Exit_25
2026-03-24,ADANIPORTS.NS,LONG,2026-03-24 12:00:00+05:30,1335.199951171875,2026-03-24 12:20:00+05:30,1341.8759509277343,0.49999999999999184,PT_75,0.75,0.6315172585230199,PT_75 | OB_Exit_25
2026-03-24,NTPC.NS,LONG,2026-03-24 12:00:00+05:30,375.8999938964844,2026-03-24 12:25:00+05:30,377.77949386596674,0.4999999999999855,PT_75,0.75,0.3450730449082419,PT_75 | EOD
2026-03-24,POWERGRID.NS,LONG,2026-03-24 12:00:00+05:30,298.5,2026-03-24 12:25:00+05:30,299.99249999999995,0.4999999999999833,PT_75,0.75,0.33312395309881493,PT_75 | EOD
2026-03-24,EICHERMOT.NS,LONG,2026-03-24 12:05:00+05:30,6865.0,2026-03-24 12:20:00+05:30,6899.324999999999,0.4999999999999841,PT_75,0.75,0.5425163874726757,PT_75 | OB_Exit_25
2026-03-24,BRITANNIA.NS,LONG,2026-03-24 12:10:00+05:30,5487.0,2026-03-24 12:20:00+05:30,5514.4349999999995,0.49999999999999073,PT_75,0.75,0.5618051758702318,PT_75 | OB_Exit_25
2026-04-01,JSWSTEEL.NS,LONG,2026-04-01 10:20:00+05:30,1157.0999755859375,2026-04-01 11:45:00+05:30,1145.528975830078,-1.0000000000000087,SL,1.0,-1.0000000000000087,SL
2026-04-01,INDUSINDBK.NS,LONG,2026-04-01 11:35:00+05:30,779.25,2026-04-01 12:05:00+05:30,783.1462499999999,0.49999999999998657,PT_75,0.75,0.6541149248325613,PT_75 | OB_Exit_25
2026-04-01,ITC.NS,LONG,2026-04-01 12:10:00+05:30,293.70001220703125,2026-04-01 15:15:00+05:30,291.8999938964844,-0.6128764847575251,EOD,1.0,-0.6128764847575251,EOD
2026-04-01,GRASIM.NS,LONG,2026-04-01 12:15:00+05:30,2601.89990234375,2026-04-01 15:15:00+05:30,2595.199951171875,-0.25750226462746667,EOD,1.0,-0.25750226462746667,EOD
2026-04-01,TITAN.NS,LONG,2026-04-01 12:50:00+05:30,4097.0,2026-04-01 13:40:00+05:30,4056.0299999999997,-1.0000000000000062,SL,1.0,-1.0000000000000062,SL
2026-04-08,UPL.NS,LONG,2026-04-08 12:45:00+05:30,635.5999755859375,2026-04-08 14:25:00+05:30,638.7779754638672,0.49999999999999645,PT_75,0.75,0.5834663716057809,PT_75 | EOD
