filter_type,threshold,exit_rule,trades,win_rate,gross_pnl,stt,net_return,sl_hits
vwap,0.002,none,1,0.0,-2498.9250793456677,174.9247555541992,-2.673849834899867,1
vwap,0.002,ema21,1,0.0,-1039.984130859375,174.9247555541992,-1.2149088864135742,0
vwap,0.002,ema9,1,0.0,-617.46826171875,174.9247555541992,-0.7923930172729493,0
vwap,0.002,high2,1,0.0,-617.46826171875,174.9247555541992,-0.7923930172729493,0
vwap,0.002,high1,1,0.0,-2498.9250793456677,174.9247555541992,-2.673849834899867,1
vwap,0.003,none,2,50.0,-2075.9250793456677,349.4757055541992,-2.4254007848998667,1
vwap,0.003,ema21,2,50.0,-137.597900390625,349.4757055541992,-0.4870736059448242,0
vwap,0.003,ema9,2,50.0,1187.338623046875,349.4757055541992,0.8378629174926757,0
vwap,0.003,high2,2,50.0,1187.338623046875,349.4757055541992,0.8378629174926757,0
vwap,0.003,high1,2,50.0,-2075.9250793456677,349.4757055541992,-2.4254007848998667,1
vwap,0.004,none,8,37.5,-4140.006909789739,1398.598478833008,-5.538605388622747,5
vwap,0.004,ema21,9,33.33333333333333,-1183.2051611327665,1573.149428833008,-2.7563545899657744,1
vwap,0.004,ema9,11,36.36363636363637,5082.552307128906,1922.9688972778322,3.1595834098510736,0
vwap,0.004,high2,11,36.36363636363637,4331.559631347656,1922.9688972778322,2.4085907340698243,0
vwap,0.004,high1,8,37.5,-4140.006909789739,1398.598478833008,-5.538605388622747,5
vwap,0.005,none,12,25.0,-5435.913976134887,2096.798057022095,-7.532712033156982,7
vwap,0.005,ema21,14,28.57142857142857,788.3050088502109,2446.2055070220945,-1.6579004981718837,3
vwap,0.005,ema9,20,30.0,2350.8074951171875,3494.6561298248293,-1.143848634707642,0
vwap,0.005,high2,21,38.095238095238095,4026.1951904296875,3669.361074954224,0.3568341154754635,0
vwap,0.005,high1,12,25.0,-5435.913976134887,2096.798057022095,-7.532712033156982,7
vwap,0.006,none,16,37.5,-4102.926350402378,2793.1402334899904,-6.8960665838923685,8
vwap,0.006,ema21,20,40.0,2142.851838684282,3492.1160541503905,-1.3492642154661085,5
vwap,0.006,ema9,26,38.46153846153847,9378.227722167969,4541.01423189087,4.837213490277099,0
vwap,0.006,high2,29,37.93103448275862,5747.040466308594,5064.588806048585,0.6824516602600088,0
vwap,0.006,high1,16,37.5,-4102.926350402378,2793.1402334899904,-6.8960665838923685,8
vwap,0.007,none,20,30.0,-14254.147419432837,3491.6109459381105,-17.745758365370946,12
vwap,0.007,ema21,25,28.000000000000004,-8404.701632079836,4363.298148812867,-12.767999780892703,6
vwap,0.007,ema9,31,32.25806451612903,530.9694458008908,5412.957230569457,-4.881987784768567,2
vwap,0.007,high2,38,31.57894736842105,4881.808923339953,6633.383325061037,-1.7515744017210837,2
vwap,0.007,high1,20,30.0,-14254.147419432837,3491.6109459381105,-17.745758365370946,12
