rg,rb,mp,tg,ndays,t_ret,t_pf,t_dd,t_n,v_ret,v_pf,v_dd,v_n
-0.008,0.35,1,-0.025,61,35.5,2.66,-8.0,21,26.7,2.27,-5.5,14
-0.008,0.35,2,-0.015,61,5.6,1.11,-9.9,80,21.5,1.89,-10.8,37
-0.008,0.35,2,-0.02,61,-2.1,0.94,-10.1,54,29.1,2.94,-6.3,29
-0.008,0.35,2,-0.025,61,12.8,1.7,-6.1,33,12.3,1.95,-3.8,20
-0.008,0.35,3,-0.015,61,0.1,1.0,-7.5,97,24.7,2.39,-7.8,45
-0.008,0.35,3,-0.02,61,0.9,1.03,-6.7,61,22.4,2.75,-5.6,36
-0.008,0.35,3,-0.025,61,6.5,1.44,-5.0,37,8.4,1.84,-3.4,23
-0.008,0.4,1,-0.015,50,-6.8,0.89,-18.4,45,24.0,1.96,-15.8,23
-0.008,0.4,1,-0.02,50,-6.2,0.85,-21.0,32,35.0,3.29,-9.5,18
-0.008,0.4,1,-0.025,50,23.4,2.14,-8.0,20,24.3,2.27,-5.0,14
-0.008,0.4,2,-0.015,50,1.2,1.02,-11.0,72,22.3,2.03,-10.4,36
-0.008,0.4,2,-0.02,50,-6.7,0.81,-14.3,53,27.7,2.94,-6.0,29
-0.008,0.4,2,-0.025,50,7.5,1.42,-6.1,32,11.7,1.95,-3.7,20
-0.008,0.4,3,-0.015,50,-2.8,0.93,-8.3,89,25.0,2.55,-7.6,44
-0.008,0.4,3,-0.02,50,-2.3,0.92,-8.6,60,21.6,2.74,-5.4,36
-0.008,0.4,3,-0.025,50,3.1,1.22,-5.0,36,8.2,1.84,-3.3,23
-0.008,0.5,1,-0.015,44,-3.6,0.94,-18.5,42,25.1,1.97,-16.1,22
-0.008,0.5,1,-0.02,44,-3.7,0.91,-21.0,31,37.2,3.5,-8.9,17
-0.008,0.5,1,-0.025,44,23.4,2.14,-8.0,20,24.3,2.27,-5.0,14
-0.008,0.5,2,-0.015,44,2.9,1.06,-11.1,69,23.3,2.09,-10.0,34
-0.008,0.5,2,-0.02,44,-5.4,0.85,-14.0,52,28.6,3.04,-5.7,28
-0.008,0.5,2,-0.025,44,7.5,1.42,-6.1,32,11.7,1.95,-3.7,20
-0.008,0.5,3,-0.015,44,-1.6,0.96,-8.9,86,25.7,2.61,-7.4,42
-0.008,0.5,3,-0.02,44,-1.4,0.95,-7.8,59,22.2,2.82,-5.2,35
-0.008,0.5,3,-0.025,44,3.1,1.22,-5.0,36,8.2,1.84,-3.3,23
