sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t
GMRAIRPORT,LONG,36.7,36.7,14415,0.0,-186.457857786,EOD,2022-03-29 12:10:00+05:30,2022-03-29 15:15:00+05:30
GMRAIRPORT,LONG,37.45,37.075500000000005,14521,-5438.114499999965,-5628.225403414488,SL,2022-03-30 10:45:00+05:30,2022-03-30 11:20:00+05:30
BHARATFORG,LONG,723.05,715.8195,752,-5437.336000000005,-5627.419687853268,SL,2022-03-30 11:25:00+05:30,2022-03-30 12:00:00+05:30
ASHOKLEY,LONG,55.6,55.2,9781,-3912.399999999986,-4102.951884864786,EMA50_DYN,2022-03-30 12:05:00+05:30,2022-03-30 12:50:00+05:30
COFORGE,LONG,893.5,901.0,608,4560.0,4367.225965344,RSI_EXIT,2022-03-30 12:55:00+05:30,2022-03-30 14:55:00+05:30
BANKBARODA,LONG,107.1,106.029,5077,-5437.46699999999,-5627.555267478848,SL,2022-03-30 15:00:00+05:30,2022-03-30 15:15:00+05:30
RECLTD,LONG,96.25,97.6,4786,6461.099999999973,6296.892770261373,RSI_EXIT,2022-04-04 10:45:00+05:30,2022-04-04 12:25:00+05:30
COFORGE,LONG,888.0,897.5,518,4921.0,4757.469201086,RSI_EXIT,2022-04-04 12:30:00+05:30,2022-04-04 13:45:00+05:30
APOLLOTYRE,LONG,198.45,196.95,2321,-3481.5,-3642.8437588884,EMA50_DYN,2022-04-04 13:50:00+05:30,2022-04-04 14:45:00+05:30
AUBANK,LONG,657.1,654.15,701,-2067.9500000000317,-2229.707041592532,EOD,2022-04-04 14:50:00+05:30,2022-04-04 15:15:00+05:30
GMRAIRPORT,LONG,39.65,39.4,12273,-3068.25,-3238.8835477269,EMA50_DYN,2022-04-05 10:35:00+05:30,2022-04-05 11:40:00+05:30
ASHOKLEY,LONG,59.2,58.9,8220,-2466.000000000035,-2636.805768732035,EMA50_DYN,2022-04-05 11:45:00+05:30,2022-04-05 14:10:00+05:30
ESCORTS,LONG,1804.45,1808.15,269,995.3000000000122,823.9359581956122,RSI_EXIT,2022-04-05 14:15:00+05:30,2022-04-05 14:25:00+05:30
COFORGE,LONG,914.0,910.0,532,-2128.0,-2298.769991168,EMA50_DYN,2022-04-05 14:30:00+05:30,2022-04-05 14:55:00+05:30
ESCORTS,LONG,1808.5,1824.2,269,4223.300000000012,4050.628041836212,RSI_EXIT,2022-04-05 15:00:00+05:30,2022-04-05 15:10:00+05:30
PAGEIND,LONG,44730.0,45099.0,10,3690.0,3531.29204646,RSI_EXIT,2022-04-08 10:35:00+05:30,2022-04-08 11:10:00+05:30
BEL,LONG,79.5,79.85,5913,2069.5499999999665,1903.2757712396665,EMA50_DYN,2022-04-08 11:15:00+05:30,2022-04-08 14:45:00+05:30
ASHOKLEY,LONG,62.35,61.9,7540,-3393.0000000000214,-3557.7232169700214,EMA50_DYN,2022-04-08 14:50:00+05:30,2022-04-08 15:15:00+05:30
TATAPOWER,SHORT,257.6,256.83840000000004,1861,1417.3375999999762,1248.7800457646738,TSL,2022-04-18 12:05:00+05:30,2022-04-18 12:40:00+05:30
BEL,LONG,85.75,85.85,5665,566.4999999999678,395.12592323596783,EMA50_DYN,2022-04-19 10:35:00+05:30,2022-04-19 14:25:00+05:30
CANBK,LONG,45.23,44.777699999999996,10740,-4857.702000000011,-5027.522277917759,SL,2022-04-19 14:30:00+05:30,2022-04-19 14:55:00+05:30
LICHSGFIN,LONG,374.9,371.15099999999995,1295,-4854.955000000031,-5024.679245616201,SL,2022-04-19 15:00:00+05:30,2022-04-19 15:05:00+05:30
ASHOKLEY,LONG,61.3,61.0,7136,-2140.7999999999797,-2294.36272241278,EMA50_DYN,2022-04-20 10:15:00+05:30,2022-04-20 11:30:00+05:30
LICHSGFIN,LONG,371.85,371.2,1176,-764.4000000000401,-918.3069176568401,EMA50_DYN,2022-04-20 12:35:00+05:30,2022-04-20 13:15:00+05:30
CUMMINSIND,LONG,1085.45,1100.65,403,6125.600000000019,5969.671377584218,RSI_EXIT,2022-04-20 13:20:00+05:30,2022-04-20 14:55:00+05:30
CUMMINSIND,LONG,1110.05,1098.9495,394,-4373.597000000004,-4526.493463809482,SL,2022-04-20 15:00:00+05:30,2022-04-20 15:10:00+05:30
CANBK,SHORT,43.48,43.43,9858,492.899999999972,341.97104623569203,EOD,2022-04-22 14:50:00+05:30,2022-04-22 15:15:00+05:30
TATAPOWER,SHORT,247.35,246.96,1739,678.2099999999763,526.7998365096363,TSL,2022-04-25 11:15:00+05:30,2022-04-25 12:45:00+05:30
APOLLOTYRE,SHORT,193.55,194.51774999999998,2223,-2151.3082499999264,-2303.570589420891,SL,2022-04-25 13:40:00+05:30,2022-04-25 14:10:00+05:30
ESCORTS,LONG,1607.75,1598.75,262,-2358.0,-2505.788611278,EMA50_DYN,2022-04-26 10:45:00+05:30,2022-04-26 13:10:00+05:30
BALKRISIND,LONG,2090.35,2100.0,201,1939.6500000000183,1791.0084660609182,RSI_EXIT,2022-04-26 13:15:00+05:30,2022-04-26 13:25:00+05:30
APOLLOTYRE,LONG,201.05,204.4,2096,7021.599999999988,6871.066680756788,RSI_EXIT,2022-04-26 13:30:00+05:30,2022-04-26 14:40:00+05:30
APOLLOTYRE,LONG,203.3,204.3,2073,2073.0,1923.8689654152,EOD,2022-04-26 14:45:00+05:30,2022-04-26 15:15:00+05:30
AUBANK,LONG,693.9,701.3,665,4920.9999999999845,4756.954797391984,RSI_EXIT,2022-04-28 11:40:00+05:30,2022-04-28 12:35:00+05:30
AUBANK,LONG,701.3,706.45,658,3388.70000000006,3225.08918731306,EOD,2022-04-28 12:40:00+05:30,2022-04-28 15:15:00+05:30
BHARATFORG,SHORT,675.6,678.978,742,-2506.4759999999474,-2683.8759144299233,SL,2022-05-02 11:20:00+05:30,2022-05-02 12:05:00+05:30
RBLBANK,LONG,122.15,120.9285,3998,-4883.557000000024,-5054.281142190543,SL,2022-05-04 11:05:00+05:30,2022-05-04 12:15:00+05:30
CONCOR,LONG,520.5,515.295,938,-4882.290000000038,-5052.9698491704985,SL,2022-05-04 13:25:00+05:30,2022-05-04 14:05:00+05:30
